,Train_loss,Train_pearson,Train_r2,Valid_loss,Valid_pearson,Valid_r2,Best_epoch
0,0.07519848815174388,"(0.7814188287568703, 0.0)",0.6077095481116311,0.0657392717911214,"(0.7782145190809794, 5.2387007923580635e-254)",0.6036670277283976,30
1,0.06368808854899353,"(0.8231992193745962, 0.0)",0.6775331656072927,0.06066873878849667,"(0.814444900279579, 7.925869188671832e-297)",0.6624482573616204,30
2,0.05932488538941785,"(0.8462197971314465, 0.0)",0.7154615304614376,0.0579208170409821,"(0.8321722068060711, 2.253e-321)",0.6923337997241477,30
3,0.056379670917530156,"(0.8604000490857757, 0.0)",0.7369779533676202,0.05642158538483461,"(0.8427552489278867, 0.0)",0.7080550289991501,30
4,0.05437985326543555,"(0.8692261339971097, 0.0)",0.7550432404849661,0.05489071522410838,"(0.8508971898872381, 0.0)",0.7236826165840465,30
5,0.05370646258171653,"(0.8735103873525579, 0.0)",0.7627996488425701,0.05467481371037825,"(0.8522020597287504, 0.0)",0.7258520172325171,30
6,0.05239736118034024,"(0.8788117872434806, 0.0)",0.7673217918167474,0.05442867369379302,"(0.8553546821779325, 0.0)",0.7283148324943919,30
7,0.05166719123157486,"(0.8825833794482723, 0.0)",0.778733644449509,0.05289868853807637,"(0.8628930537815169, 0.0)",0.7433742437777318,30
8,0.0511596293169745,"(0.886940793602902, 0.0)",0.7840143542277265,0.05297634741677913,"(0.8621197265241815, 0.0)",0.7426202046248243,30
9,0.05050006903826776,"(0.8871014548359728, 0.0)",0.7788297566155679,0.0532127614078543,"(0.866667423759881, 0.0)",0.7403178955373902,30
10,0.04988988669729368,"(0.8911535838270974, 0.0)",0.7938389788892333,0.05249704917817117,"(0.8647279483947308, 0.0)",0.7472563689613194,30
11,0.049558721359729996,"(0.8919711987054005, 0.0)",0.7955406313183329,0.052488814649222275,"(0.8652107090552839, 0.0)",0.747335659266434,30
12,0.04922543880442086,"(0.8947423035522399, 0.0)",0.7922576216839429,0.05262062143299705,"(0.8675086678073713, 0.0)",0.7460651120240404,30
13,0.04905287808563872,"(0.8938854158652676, 0.0)",0.7953101815574587,0.052361912280367295,"(0.8664826159174976, 0.0)",0.7485559145119559,30
14,0.04870765920232754,"(0.8985231837513998, 0.0)",0.8053447133681815,0.05117274249514349,"(0.8718663580386976, 0.0)",0.7598471132487726,30
15,0.04839161445522863,"(0.8965027486923031, 0.0)",0.8016439519987785,0.05207483789921881,"(0.867640681656529, 0.0)",0.7513054430394857,30
16,0.04865312590439853,"(0.8963165225634077, 0.0)",0.8016418307090454,0.051817191754399736,"(0.8685656277297489, 0.0)",0.7537602431959322,30
17,0.04849198334037281,"(0.8958198140317926, 0.0)",0.7814422828555602,0.053789280229622954,"(0.8702403615630676, 0.0)",0.7346605074003294,30
18,0.048415783315461515,"(0.8987357968454684, 0.0)",0.7939860126545811,0.052707396827596543,"(0.8706383645537704, 0.0)",0.7452269069218402,30
19,0.04775440217597801,"(0.9035422310765691, 0.0)",0.8013435535460656,0.05243339116445338,"(0.8734277767792782, 0.0)",0.7478689550635091,30
20,0.047422264139090106,"(0.9021476828565254, 0.0)",0.8126772025206076,0.0514207015763312,"(0.8703800801453545, 0.0)",0.7575141370372266,30
21,0.04717533405078963,"(0.9002212919838458, 0.0)",0.7918067906383526,0.054085369272378454,"(0.8647979200233299, 0.0)",0.7317312872319126,30
22,0.04741526902826829,"(0.8963640907125683, 0.0)",0.8029247250970856,0.05132720614915465,"(0.8709310047187084, 0.0)",0.7583951328382632,30
23,0.047023736804177346,"(0.9017133734789382, 0.0)",0.8091032993209475,0.051788725996342024,"(0.8689196058359829, 0.0)",0.7540307131903174,30
24,0.046894538271627643,"(0.9059718451588094, 0.0)",0.8205713920219986,0.050610118156109205,"(0.8759793738984483, 0.0)",0.7650988554213317,30
25,0.047077715788749856,"(0.9049357350476717, 0.0)",0.8151225439627121,0.051178904593350956,"(0.8726773769218427, 0.0)",0.7597892740080792,30
26,0.04686703986329601,"(0.9060055779651167, 0.0)",0.820628522071505,0.050332122707969905,"(0.876360018763022, 0.0)",0.7676723408230227,30
