,uniprot_id,y_true,y_pred,Tm,prediction
2569,11304,0.4166666865348816,0.44409969449043274,50.00000238418579,53.29196333885193
3682,30198,0.4166666865348816,0.4405333697795868,50.00000238418579,52.864004373550415
3708,9661,0.4166666865348816,0.4523299038410187,50.00000238418579,54.27958846092224
4711,20494,0.4166666865348816,0.4327724277973175,50.00000238418579,51.9326913356781
2369,599,0.4166666865348816,0.4224822521209717,50.00000238418579,50.6978702545166
183,11771,0.4166666865348816,0.4413832128047943,50.00000238418579,52.96598553657532
2864,15145,0.4166666865348816,0.4346490204334259,50.00000238418579,52.15788245201111
4538,319,0.4166666865348816,0.45723384618759155,50.00000238418579,54.868061542510986
3770,11976,0.4166666865348816,0.44323939085006714,50.00000238418579,53.18872690200806
3782,3418,0.4166666865348816,0.46260178089141846,50.00000238418579,55.512213706970215
46,9274,0.4166666865348816,0.46355971693992615,50.00000238418579,55.62716603279114
4905,25171,0.4166666865348816,0.43799060583114624,50.00000238418579,52.55887269973755
3857,8664,0.4166666865348816,0.4660573899745941,50.00000238418579,55.926886796951294
3241,14122,0.4166666865348816,0.46494024991989136,50.00000238418579,55.79282999038696
4468,20215,0.4166666865348816,0.43442291021347046,50.00000238418579,52.130749225616455
500,1482,0.4166666865348816,0.43930748105049133,50.00000238418579,52.71689772605896
554,3378,0.4166666865348816,0.46730369329452515,50.00000238418579,56.07644319534302
3579,26356,0.4166666865348816,0.44938433170318604,50.00000238418579,53.926119804382324
2359,30594,0.4166666865348816,0.4440811574459076,50.00000238418579,53.28973889350891
3262,30889,0.4166666865348816,0.4428015649318695,50.00000238418579,53.13618779182434
4616,165,0.4166666865348816,0.511256992816925,50.00000238418579,61.350839138031006
3090,1710,0.4166666865348816,0.4581766724586487,50.00000238418579,54.98120069503784
2239,7227,0.4166666865348816,0.44340991973876953,50.00000238418579,53.209190368652344
2233,27274,0.4166666865348816,0.4587767422199249,50.00000238418579,55.05320906639099
3396,3027,0.4166666865348816,0.45891860127449036,50.00000238418579,55.07023215293884
2230,24485,0.4166666865348816,0.43769922852516174,50.00000238418579,52.52390742301941
3402,28150,0.4166666865348816,0.4239223301410675,50.00000238418579,50.8706796169281
3067,9576,0.4166666865348816,0.43657150864601135,50.00000238418579,52.38858103752136
4636,30845,0.4166666865348816,0.4793586730957031,50.00000238418579,57.523040771484375
4555,12257,0.4166666865348816,0.4453151822090149,50.00000238418579,53.43782186508179
2117,8087,0.4166666865348816,0.44666966795921326,50.00000238418579,53.60036015510559
640,6308,0.4166666865348816,0.4520386755466461,50.00000238418579,54.244641065597534
3492,30853,0.4166666865348816,0.4241093397140503,50.00000238418579,50.893120765686035
3502,5390,0.4166666865348816,0.4318077266216278,50.00000238418579,51.81692719459534
127,25411,0.4166666865348816,0.45288529992103577,50.00000238418579,54.34623599052429
2489,7139,0.4166666865348816,0.46423575282096863,50.00000238418579,55.708290338516235
1920,27498,0.4166666865348816,0.4958531856536865,50.00000238418579,59.50238227844238
3944,17358,0.4166666865348816,0.4603227972984314,50.00000238418579,55.23873567581177
230,1231,0.4166666865348816,0.43090400099754333,50.00000238418579,51.7084801197052
4735,11643,0.4166666865348816,0.4653536379337311,50.00000238418579,55.84243655204773
4974,29232,0.4166666865348816,0.4513636529445648,50.00000238418579,54.16363835334778
2648,19440,0.4166666865348816,0.4781431257724762,50.00000238418579,57.377175092697144
1593,4694,0.4166666865348816,0.45277824997901917,50.00000238418579,54.3333899974823
330,29228,0.4166666865348816,0.45651116967201233,50.00000238418579,54.78134036064148
11,24496,0.4166666865348816,0.44110456109046936,50.00000238418579,52.93254733085632
1287,29571,0.4166666865348816,0.4448690712451935,50.00000238418579,53.38428854942322
4727,18204,0.4166666865348816,0.4345843493938446,50.00000238418579,52.15012192726135
1560,2215,0.4166666865348816,0.4246174991130829,50.00000238418579,50.954099893569946
1555,20027,0.4166666865348816,0.4323534071445465,50.00000238418579,51.88240885734558
2639,20656,0.4166666865348816,0.4470266103744507,50.00000238418579,53.64319324493408
4983,28720,0.4166666865348816,0.440011590719223,50.00000238418579,52.80139088630676
953,27555,0.4166666865348816,0.44723987579345703,50.00000238418579,53.668785095214844
4302,26668,0.4166666865348816,0.4334477484226227,50.00000238418579,52.01372981071472
1474,1423,0.4166666865348816,0.4679713249206543,50.00000238418579,56.156558990478516
1581,15655,0.4166666865348816,0.4498593211174011,50.00000238418579,53.983118534088135
4159,12926,0.4166666865348816,0.4697018265724182,50.00000238418579,56.364219188690186
4406,23096,0.4166666865348816,0.4261394143104553,50.00000238418579,51.13672971725464
4158,21784,0.4166666865348816,0.42499372363090515,50.00000238418579,50.99924683570862
3960,21010,0.4166666865348816,0.4333966076374054,50.00000238418579,52.00759291648865
4939,25854,0.4166666865348816,0.4513903856277466,50.00000238418579,54.16684627532959
1861,3172,0.4166666865348816,0.4791377782821655,50.00000238418579,57.49653339385986
3985,21590,0.4166666865348816,0.43866267800331116,50.00000238418579,52.63952136039734
1331,661,0.4166666865348816,0.4458494782447815,50.00000238418579,53.50193738937378
