,uniprot_id,y_true,y_pred,Tm,prediction
479,30889,0.4166666865348816,0.44219687581062317,50.00000238418579,53.06362509727478
2254,1231,0.4166666865348816,0.4527581036090851,50.00000238418579,54.33097243309021
3403,6365,0.4166666865348816,0.45008400082588196,50.00000238418579,54.010080099105835
1116,21590,0.4166666865348816,0.4493865966796875,50.00000238418579,53.9263916015625
2739,7227,0.4166666865348816,0.4438072144985199,50.00000238418579,53.25686573982239
2937,11319,0.4166666865348816,0.4820621907711029,50.00000238418579,57.84746289253235
1886,30198,0.4166666865348816,0.4753611981868744,50.00000238418579,57.04334378242493
3810,19440,0.4166666865348816,0.4649411737918854,50.00000238418579,55.792940855026245
2405,7285,0.4166666865348816,0.45244523882865906,50.00000238418579,54.29342865943909
425,28505,0.4166666865348816,0.4592288136482239,50.00000238418579,55.107457637786865
4167,3035,0.4166666865348816,0.45167508721351624,50.00000238418579,54.20101046562195
3749,25411,0.4166666865348816,0.455556184053421,50.00000238418579,54.66674208641052
1082,12926,0.4166666865348816,0.5059707760810852,50.00000238418579,60.716493129730225
2853,27412,0.4166666865348816,0.5337501764297485,50.00000238418579,64.05002117156982
3102,30853,0.4166666865348816,0.4424664378166199,50.00000238418579,53.095972537994385
4610,11643,0.4166666865348816,0.4589976966381073,50.00000238418579,55.079723596572876
1743,21784,0.4166666865348816,0.4504488408565521,50.00000238418579,54.053860902786255
4552,3378,0.4166666865348816,0.46169567108154297,50.00000238418579,55.403480529785156
805,20652,0.4166666865348816,0.4513937830924988,50.00000238418579,54.16725397109985
3738,15145,0.4166666865348816,0.43993425369262695,50.00000238418579,52.792110443115234
2612,4694,0.4166666865348816,0.45516109466552734,50.00000238418579,54.61933135986328
306,599,0.4166666865348816,0.44703274965286255,50.00000238418579,53.643929958343506
3960,1482,0.4166666865348816,0.44525694847106934,50.00000238418579,53.43083381652832
4793,14122,0.4166666865348816,0.4622611701488495,50.00000238418579,55.47134041786194
1085,2215,0.4166666865348816,0.43952858448028564,50.00000238418579,52.74343013763428
3364,27555,0.4166666865348816,0.45214566588401794,50.00000238418579,54.25747990608215
1684,9274,0.4166666865348816,0.45939117670059204,50.00000238418579,55.126941204071045
4152,24496,0.4166666865348816,0.450676828622818,50.00000238418579,54.08121943473816
673,18204,0.4166666865348816,0.44433286786079407,50.00000238418579,53.31994414329529
1584,29571,0.4166666865348816,0.44739317893981934,50.00000238418579,53.68718147277832
2966,3418,0.4166666865348816,0.4569089114665985,50.00000238418579,54.82906937599182
2275,24485,0.4166666865348816,0.4409010410308838,50.00000238418579,52.908124923706055
1972,30845,0.4166666865348816,0.47155898809432983,50.00000238418579,56.58707857131958
89,3027,0.4166666865348816,0.45822596549987793,50.00000238418579,54.98711585998535
3435,9661,0.4166666865348816,0.4495609700679779,50.00000238418579,53.94731640815735
3302,10640,0.4166666865348816,0.4253525733947754,50.00000238418579,51.04230880737305
4389,12257,0.4166666865348816,0.4501964747905731,50.00000238418579,54.023576974868774
2261,1710,0.4166666865348816,0.45536449551582336,50.00000238418579,54.643739461898804
4353,319,0.4166666865348816,0.4682331085205078,50.00000238418579,56.18797302246094
720,7911,0.4166666865348816,0.5101110339164734,50.00000238418579,61.21332406997681
2516,7139,0.4166666865348816,0.4606066942214966,50.00000238418579,55.27280330657959
4450,28720,0.4166666865348816,0.4475763142108917,50.00000238418579,53.70915770530701
3148,11976,0.4166666865348816,0.44843944907188416,50.00000238418579,53.8127338886261
1426,19977,0.4166666865348816,0.45369765162467957,50.00000238418579,54.44371819496155
2020,875,0.4166666865348816,0.4402014911174774,50.00000238418579,52.82417893409729
4713,6308,0.4166666865348816,0.4545072317123413,50.00000238418579,54.54086780548096
3170,8654,0.4166666865348816,0.44659456610679626,50.00000238418579,53.59134793281555
4177,22580,0.4166666865348816,0.4714858829975128,50.00000238418579,56.57830595970154
3085,15655,0.4166666865348816,0.458187460899353,50.00000238418579,54.98249530792236
2192,6980,0.4166666865348816,0.44192537665367126,50.00000238418579,53.03104519844055
1235,20027,0.4166666865348816,0.4464344084262848,50.00000238418579,53.572129011154175
3967,165,0.4166666865348816,0.47465750575065613,50.00000238418579,56.958900690078735
2153,27498,0.4166666865348816,0.5335685610771179,50.00000238418579,64.02822732925415
4566,30594,0.4166666865348816,0.4468643069267273,50.00000238418579,53.623716831207275
4803,20933,0.4166666865348816,0.45527008175849915,50.00000238418579,54.6324098110199
4813,3379,0.4166666865348816,0.45177432894706726,50.00000238418579,54.21291947364807
2986,29228,0.4166666865348816,0.4612729251384735,50.00000238418579,55.35275101661682
2616,21010,0.4166666865348816,0.4415852725505829,50.00000238418579,52.990232706069946
3214,11771,0.4166666865348816,0.4541476368904114,50.00000238418579,54.497716426849365
4122,8087,0.4166666865348816,0.4519674479961395,50.00000238418579,54.23609375953674
360,9576,0.4166666865348816,0.43274134397506714,50.00000238418579,51.92896127700806
327,8664,0.4166666865348816,0.4611980617046356,50.00000238418579,55.343767404556274
1909,23096,0.4166666865348816,0.44143110513687134,50.00000238418579,52.97173261642456
2971,14472,0.4166666865348816,0.48109063506126404,50.00000238418579,57.730876207351685
2366,17358,0.4166666865348816,0.45733875036239624,50.00000238418579,54.88065004348755
4862,28057,0.4166666865348816,0.45280858874320984,50.00000238418579,54.33703064918518
1531,14857,0.4166666865348816,0.4740297198295593,50.00000238418579,56.88356637954712
4123,3172,0.4166666865348816,0.4982565939426422,50.00000238418579,59.790791273117065
827,8170,0.4166666865348816,0.4245902895927429,50.00000238418579,50.95083475112915
1621,12373,0.41750001907348633,0.45900046825408936,50.10000228881836,55.08005619049072
1059,9819,0.41750001907348633,0.4514738917350769,50.10000228881836,54.17686700820923
2757,5406,0.41750001907348633,0.4614444673061371,50.10000228881836,55.37333607673645
4215,27592,0.41750001907348633,0.45575815439224243,50.10000228881836,54.69097852706909
2124,21474,0.41750001907348633,0.45963120460510254,50.10000228881836,55.155744552612305
2851,7411,0.41750001907348633,0.45972755551338196,50.10000228881836,55.167306661605835
4912,7775,0.41750001907348633,0.4276907444000244,50.10000228881836,51.32288932800293
1487,1645,0.41750001907348633,0.4435409903526306,50.10000228881836,53.224918842315674
3904,1512,0.41750001907348633,0.4737887382507324,50.10000228881836,56.85464859008789
2182,6076,0.41750001907348633,0.45459169149398804,50.10000228881836,54.551002979278564
3397,22969,0.41750001907348633,0.43915432691574097,50.10000228881836,52.698519229888916
3737,27756,0.41750001907348633,0.4625250995159149,50.10000228881836,55.50301194190979
2114,635,0.41750001907348633,0.43928539752960205,50.10000228881836,52.714247703552246
1413,13104,0.41750001907348633,0.4610598683357239,50.10000228881836,55.327184200286865
3700,28618,0.41750001907348633,0.45722901821136475,50.10000228881836,54.86748218536377
4843,2857,0.41750001907348633,0.47675302624702454,50.10000228881836,57.210363149642944
4132,13866,0.41750001907348633,0.4861501157283783,50.10000228881836,58.338013887405396
1382,18225,0.41750001907348633,0.4481881558895111,50.10000228881836,53.78257870674133
835,16098,0.41750001907348633,0.44831985235214233,50.10000228881836,53.79838228225708
2709,659,0.41750001907348633,0.45478951930999756,50.10000228881836,54.57474231719971
161,2184,0.41750001907348633,0.4459168314933777,50.10000228881836,53.51001977920532
240,18280,0.41750001907348633,0.4981624186038971,50.10000228881836,59.77949023246765
996,12054,0.41750001907348633,0.4398843050003052,50.10000228881836,52.78611660003662
736,29778,0.41750001907348633,0.4605100154876709,50.10000228881836,55.26120185852051
3319,9069,0.41750001907348633,0.44437098503112793,50.10000228881836,53.32451820373535
249,4802,0.41750001907348633,0.4678681194782257,50.10000228881836,56.144174337387085
